t,s,v,a,j
0.0010,99.9800,20.0000,0.0000,0.0000
0.0020,99.9600,19.9955,-4.5000,-100.0000
0.0030,99.9400,19.9910,-4.5000,0.0000
0.0040,99.9200,19.9865,-4.5000,0.0000
0.0050,99.9001,19.9820,-4.5000,0.0000
0.0060,99.8801,19.9775,-4.5000,0.0000
0.0070,99.8601,19.9730,-4.5000,0.0000
0.0080,99.8401,19.9685,-4.5000,0.0000
0.0090,99.8202,19.9640,-4.5000,0.0000
0.0100,99.8002,19.9595,-4.5000,0.0000
0.0110,99.7803,19.9550,-4.5000,0.0000
0.0120,99.7603,19.9505,-4.5000,0.0000
0.0130,99.7404,19.9460,-4.5000,0.0000
0.0140,99.7204,19.9415,-4.5000,0.0000
0.0150,99.7005,19.9370,-4.5000,0.0000
0.0160,99.6806,19.9325,-4.5000,0.0000
0.0170,99.6606,19.9280,-4.5000,0.0000
0.0180,99.6407,19.9235,-4.5000,0.0000
0.0190,99.6208,19.9190,-4.5000,0.0000
0.0200,99.6009,19.9145,-4.5000,0.0000
0.0210,99.5810,19.9101,-4.4000,100.0000
0.0220,99.5611,19.9057,-4.4000,0.0000
0.0230,99.5412,19.9013,-4.4000,0.0000
0.0240,99.5213,19.8969,-4.4000,0.0000
0.0250,99.5014,19.8925,-4.4000,0.0000
0.0260,99.4815,19.8881,-4.4000,0.0000
0.0270,99.4616,19.8837,-4.4000,0.0000
0.0280,99.4418,19.8793,-4.4000,0.0000
0.0290,99.4219,19.8749,-4.4000,0.0000
0.0300,99.4020,19.8705,-4.4000,0.0000
0.0310,99.3822,19.8661,-4.4000,0.0000
0.0320,99.3623,19.8617,-4.4000,0.0000
0.0330,99.3424,19.8573,-4.4000,0.0000
0.0340,99.3226,19.8529,-4.4000,0.0000
0.0350,99.3027,19.8485,-4.4000,0.0000
0.0360,99.2829,19.8441,-4.4000,0.0000
0.0370,99.2631,19.8397,-4.4000,0.0000
0.0380,99.2432,19.8353,-4.4000,0.0000
0.0390,99.2234,19.8309,-4.4000,0.0000
0.0400,99.2036,19.8265,-4.4000,0.0000
0.0410,99.1838,19.8221,-4.4000,0.0000
0.0420,99.1639,19.8177,-4.4000,0.0000
0.0430,99.1441,19.8133,-4.4000,0.0000
0.0440,99.1243,19.8089,-4.4000,0.0000
0.0450,99.1045,19.8045,-4.4000,0.0000
0.0460,99.0847,19.8001,-4.4000,0.0000
0.0470,99.0649,19.7957,-4.4000,0.0000
